EFAEC_00389	288	300	294	345	467	452
EFAEC_00390	241	271	195	21	22	21
EFAEC_00391	65	70	52	6	4	3
EFAEC_00392	243	260	226	291	319	294
EFAEC_00393	71	63	76	12	15	16
EFAEC_00394	26	23	28	6	16	12
EFAEC_00395	169	151	140	70	67	73
EFAEC_00396	74	69	85	54	51	38
EFAEC_00397	101	134	122	55	71	58
EFAEC_00398	313	299	258	159	222	186
EFAEC_00399	502	594	593	93	113	108
EFAEC_00400	3512	3466	3156	792	1037	808
EFAEC_00401	4427	4116	4038	1345	1487	1437
EFAEC_00402	187	188	149	4040	4015	4684
EFAEC_00403	21	24	12	93	116	155
EFAEC_00404	57	61	53	130	104	140
EFAEC_00405	164	154	135	78	80	69
EFAEC_00406	35	37	36	9	16	18
EFAEC_00407	5	5	8	2	4	3
EFAEC_00408	1	0	0	0	0	0
EFAEC_00409	4614	4594	4268	5828	7517	6565
EFAEC_00410	46	52	48	101	142	132
EFAEC_00411	301	310	310	494	629	548
EFAEC_00412	997	730	684	187	249	183
EFAEC_00413	7233	6332	6007	1673	1897	1717
EFAEC_00414	2119	1831	1637	2581	2565	2585
EFAEC_00415	4897	4786	3977	2712	3564	3130
EFAEC_00416	908	863	743	421	567	541
EFAEC_00417	865	1025	900	3871	4416	4327
EFAEC_00418	545	511	472	2441	2823	2780
EFAEC_00419	1120	1148	1083	7404	8776	8316
EFAEC_00420	577	640	566	567	725	616
EFAEC_00421	1	2	2	4	3	4
EFAEC_00422	7240	6887	6167	9005	10102	9763
EFAEC_00423	4195	4153	3798	3947	3956	3682
EFAEC_00424	2441	2432	2139	2280	2293	2227
EFAEC_00425	1440	1617	1265	1384	1624	1443
EFAEC_00426	1103	1025	900	1868	2111	2596
EFAEC_00427	1032	1000	919	1374	1674	2029
EFAEC_00428	596	544	508	1019	1207	1374
EFAEC_00429	312	251	210	547	493	710
EFAEC_00430	350	410	376	1028	1039	1288
EFAEC_00431	3446	3381	3105	7525	8367	10878
EFAEC_00432	1035	1071	944	2391	2868	3895
EFAEC_00433	750	796	706	1711	1897	2618
EFAEC_00434	628	656	615	1277	1483	2054
EFAEC_00435	865	843	778	1347	1624	2193
EFAEC_00436	523	568	474	1213	1373	1870
EFAEC_00437	4048	4616	3992	4530	4953	4603
EFAEC_00438	1356	1284	1111	1634	1875	1755
EFAEC_00439	561	700	671	844	944	831
EFAEC_00440	1750	1548	1286	1904	2046	2100
EFAEC_00441	2183	1937	1842	20286	25005	21261
EFAEC_00442	1739	1761	1657	3374	3799	3351
EFAEC_00443	1763	1698	1427	1364	1631	1504
EFAEC_00444	547	493	423	395	402	388
EFAEC_00445	1835	1852	1625	1497	1798	1660
EFAEC_00446	1647	1744	1523	1696	2092	1952
EFAEC_00447	25071	25362	23207	4598	5535	5029
EFAEC_00448	199	199	199	264	272	265
EFAEC_00449	13052	12723	11462	5865	6745	6181
EFAEC_00450	2220	2369	2134	1864	2253	2085
EFAEC_00451	34	46	42	59	90	83
EFAEC_00452	107	124	71	50	44	44
EFAEC_00453	34	35	35	31	30	31
EFAEC_00454	59	80	70	45	58	48
EFAEC_00455	18	26	13	25	24	19
EFAEC_00456	1154	1055	951	793	874	807
EFAEC_00457	7786	7899	7113	7406	8290	7449
EFAEC_00458	8757	8609	7791	4949	5660	5147
EFAEC_00459	5756	7229	6639	4178	5139	4806
EFAEC_00460	888	925	750	392	456	478
EFAEC_00461	1010	983	993	252	350	314
EFAEC_00462	12793	12055	10546	4985	6034	5414
EFAEC_00463	0	0	0	0	0	0
EFAEC_00464	103	126	107	21	26	22
EFAEC_00465	2041	1776	1561	2162	2374	2245
